,year,state,state_name,gender_pc,Data_Value_Alt,Question,Sample_Size,Total,Gender,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2015,ID,Idaho,29.8,29.8,Percent of adults aged 18 years and older who have obesity,2420.0,,Male,"(43.682630005000476, -114.3637300419997)",16,Gender,Male
1,2015,FL,Florida,42.5,42.5,Percent of adults aged 18 years and older who have an overweight classification,3895.0,,Male,"(28.932040377000476, -81.92896053899966)",12,Gender,Male
2,2015,AL,Alabama,34.9,34.9,Percent of adults aged 18 years and older who have obesity,2958.0,,Male,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
3,2015,AL,Alabama,36.4,36.4,Percent of adults aged 18 years and older who have obesity,4425.0,,Female,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
4,2015,AL,Alabama,28.4,28.4,Percent of adults aged 18 years and older who have an overweight classification,4425.0,,Female,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
5,2015,AL,Alabama,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,2958.0,,Male,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
6,2015,AK,Alaska,29.3,29.3,Percent of adults aged 18 years and older who have obesity,1642.0,,Male,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
7,2015,AK,Alaska,30.5,30.5,Percent of adults aged 18 years and older who have obesity,1792.0,,Female,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
8,2015,AK,Alaska,30.9,30.9,Percent of adults aged 18 years and older who have an overweight classification,1792.0,,Female,"(64.84507995700051, -147.72205903599973)",2,Gender,Female
9,2015,AK,Alaska,42.8,42.8,Percent of adults aged 18 years and older who have an overweight classification,1642.0,,Male,"(64.84507995700051, -147.72205903599973)",2,Gender,Male
10,2015,AZ,Arizona,27.1,27.1,Percent of adults aged 18 years and older who have obesity,4083.0,,Female,"(34.865970280000454, -111.76381127699972)",4,Gender,Female
11,2015,AZ,Arizona,29.6,29.6,Percent of adults aged 18 years and older who have obesity,3069.0,,Male,"(34.865970280000454, -111.76381127699972)",4,Gender,Male
12,2015,AZ,Arizona,32.0,32.0,Percent of adults aged 18 years and older who have an overweight classification,4083.0,,Female,"(34.865970280000454, -111.76381127699972)",4,Gender,Female
13,2015,AZ,Arizona,41.5,41.5,Percent of adults aged 18 years and older who have an overweight classification,3069.0,,Male,"(34.865970280000454, -111.76381127699972)",4,Gender,Male
14,2015,AR,Arkansas,33.9,33.9,Percent of adults aged 18 years and older who have obesity,2974.0,,Female,"(34.74865012400045, -92.27449074299966)",5,Gender,Female
15,2015,AR,Arkansas,35.1,35.1,Percent of adults aged 18 years and older who have obesity,1839.0,,Male,"(34.74865012400045, -92.27449074299966)",5,Gender,Male
16,2015,AR,Arkansas,32.0,32.0,Percent of adults aged 18 years and older who have an overweight classification,2974.0,,Female,"(34.74865012400045, -92.27449074299966)",5,Gender,Female
17,2015,AR,Arkansas,38.0,38.0,Percent of adults aged 18 years and older who have an overweight classification,1839.0,,Male,"(34.74865012400045, -92.27449074299966)",5,Gender,Male
