,year,state,state_name,income_pc,Data_Value_Alt,Question,Sample_Size,Total,Income,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2016,AZ,Arizona,34.7,34.7,Percent of adults aged 18 years and older who have an overweight classification,842.0,,"Less than $15,000","(34.865970280000454, -111.76381127699972)",4,Income,"Less than $15,000"
1,2016,AZ,Arizona,30.9,30.9,Percent of adults aged 18 years and older who have an overweight classification,1379.0,,"$15,000 - $24,999","(34.865970280000454, -111.76381127699972)",4,Income,"$15,000 - $24,999"
2,2016,AZ,Arizona,34.1,34.1,Percent of adults aged 18 years and older who have an overweight classification,918.0,,"$25,000 - $34,999","(34.865970280000454, -111.76381127699972)",4,Income,"$25,000 - $34,999"
3,2016,AZ,Arizona,35.3,35.3,Percent of adults aged 18 years and older who have an overweight classification,1355.0,,"$35,000 - $49,999","(34.865970280000454, -111.76381127699972)",4,Income,"$35,000 - $49,999"
4,2016,AZ,Arizona,36.5,36.5,Percent of adults aged 18 years and older who have an overweight classification,1421.0,,"$50,000 - $74,999","(34.865970280000454, -111.76381127699972)",4,Income,"$50,000 - $74,999"
5,2016,AZ,Arizona,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,2507.0,,"$75,000 or greater","(34.865970280000454, -111.76381127699972)",4,Income,"$75,000 or greater"
6,2016,AZ,Arizona,29.0,29.0,Percent of adults aged 18 years and older who have an overweight classification,1611.0,,Data not reported,"(34.865970280000454, -111.76381127699972)",4,Income,Data not reported
7,2016,US,National,30.3,30.3,Percent of adults aged 18 years and older who have an overweight classification,36639.0,,"Less than $15,000",,59,Income,"Less than $15,000"
8,2016,US,National,33.2,33.2,Percent of adults aged 18 years and older who have an overweight classification,62605.0,,"$15,000 - $24,999",,59,Income,"$15,000 - $24,999"
9,2016,US,National,35.5,35.5,Percent of adults aged 18 years and older who have an overweight classification,40914.0,,"$25,000 - $34,999",,59,Income,"$25,000 - $34,999"
10,2016,US,National,34.9,34.9,Percent of adults aged 18 years and older who have an overweight classification,54639.0,,"$35,000 - $49,999",,59,Income,"$35,000 - $49,999"
11,2016,US,National,37.1,37.1,Percent of adults aged 18 years and older who have an overweight classification,61211.0,,"$50,000 - $74,999",,59,Income,"$50,000 - $74,999"
12,2016,US,National,38.2,38.2,Percent of adults aged 18 years and older who have an overweight classification,120901.0,,"$75,000 or greater",,59,Income,"$75,000 or greater"
13,2016,US,National,32.7,32.7,Percent of adults aged 18 years and older who have an overweight classification,61570.0,,Data not reported,,59,Income,Data not reported
14,2016,AL,Alabama,26.7,26.7,Percent of adults aged 18 years and older who have an overweight classification,828.0,,"Less than $15,000","(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
15,2016,AL,Alabama,28.5,28.5,Percent of adults aged 18 years and older who have an overweight classification,1088.0,,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
16,2016,AL,Alabama,31.7,31.7,Percent of adults aged 18 years and older who have an overweight classification,600.0,,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
17,2016,AL,Alabama,35.9,35.9,Percent of adults aged 18 years and older who have an overweight classification,712.0,,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
18,2016,AL,Alabama,41.4,41.4,Percent of adults aged 18 years and older who have an overweight classification,817.0,,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
19,2016,AL,Alabama,37.2,37.2,Percent of adults aged 18 years and older who have an overweight classification,1306.0,,"$75,000 or greater","(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
20,2016,AL,Alabama,33.9,33.9,Percent of adults aged 18 years and older who have an overweight classification,1175.0,,Data not reported,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
21,2016,AK,Alaska,34.3,34.3,Percent of adults aged 18 years and older who have an overweight classification,223.0,,"Less than $15,000","(64.84507995700051, -147.72205903599973)",2,Income,"Less than $15,000"
22,2016,AK,Alaska,25.4,25.4,Percent of adults aged 18 years and older who have an overweight classification,318.0,,"$15,000 - $24,999","(64.84507995700051, -147.72205903599973)",2,Income,"$15,000 - $24,999"
23,2016,AK,Alaska,33.5,33.5,Percent of adults aged 18 years and older who have an overweight classification,230.0,,"$25,000 - $34,999","(64.84507995700051, -147.72205903599973)",2,Income,"$25,000 - $34,999"
24,2016,AK,Alaska,34.1,34.1,Percent of adults aged 18 years and older who have an overweight classification,283.0,,"$35,000 - $49,999","(64.84507995700051, -147.72205903599973)",2,Income,"$35,000 - $49,999"
25,2016,AK,Alaska,37.6,37.6,Percent of adults aged 18 years and older who have an overweight classification,390.0,,"$50,000 - $74,999","(64.84507995700051, -147.72205903599973)",2,Income,"$50,000 - $74,999"
26,2016,AK,Alaska,39.0,39.0,Percent of adults aged 18 years and older who have an overweight classification,1045.0,,"$75,000 or greater","(64.84507995700051, -147.72205903599973)",2,Income,"$75,000 or greater"
27,2016,AK,Alaska,31.4,31.4,Percent of adults aged 18 years and older who have an overweight classification,250.0,,Data not reported,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
28,2016,AR,Arkansas,19.6,19.6,Percent of adults aged 18 years and older who have an overweight classification,558.0,,"Less than $15,000","(34.74865012400045, -92.27449074299966)",5,Income,"Less than $15,000"
29,2016,AR,Arkansas,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,831.0,,"$15,000 - $24,999","(34.74865012400045, -92.27449074299966)",5,Income,"$15,000 - $24,999"
30,2016,AR,Arkansas,31.2,31.2,Percent of adults aged 18 years and older who have an overweight classification,541.0,,"$25,000 - $34,999","(34.74865012400045, -92.27449074299966)",5,Income,"$25,000 - $34,999"
31,2016,AR,Arkansas,27.7,27.7,Percent of adults aged 18 years and older who have an overweight classification,572.0,,"$35,000 - $49,999","(34.74865012400045, -92.27449074299966)",5,Income,"$35,000 - $49,999"
32,2016,AR,Arkansas,39.1,39.1,Percent of adults aged 18 years and older who have an overweight classification,602.0,,"$50,000 - $74,999","(34.74865012400045, -92.27449074299966)",5,Income,"$50,000 - $74,999"
33,2016,AR,Arkansas,37.0,37.0,Percent of adults aged 18 years and older who have an overweight classification,884.0,,"$75,000 or greater","(34.74865012400045, -92.27449074299966)",5,Income,"$75,000 or greater"
34,2016,AR,Arkansas,30.7,30.7,Percent of adults aged 18 years and older who have an overweight classification,871.0,,Data not reported,"(34.74865012400045, -92.27449074299966)",5,Income,Data not reported
35,2016,CA,California,32.4,32.4,Percent of adults aged 18 years and older who have an overweight classification,1309.0,,"Less than $15,000","(37.63864012300047, -120.99999953799971)",6,Income,"Less than $15,000"
36,2016,CA,California,35.9,35.9,Percent of adults aged 18 years and older who have an overweight classification,1218.0,,"$15,000 - $24,999","(37.63864012300047, -120.99999953799971)",6,Income,"$15,000 - $24,999"
37,2016,CA,California,40.4,40.4,Percent of adults aged 18 years and older who have an overweight classification,839.0,,"$25,000 - $34,999","(37.63864012300047, -120.99999953799971)",6,Income,"$25,000 - $34,999"
38,2016,CA,California,34.0,34.0,Percent of adults aged 18 years and older who have an overweight classification,1040.0,,"$35,000 - $49,999","(37.63864012300047, -120.99999953799971)",6,Income,"$35,000 - $49,999"
39,2016,CA,California,36.7,36.7,Percent of adults aged 18 years and older who have an overweight classification,1142.0,,"$50,000 - $74,999","(37.63864012300047, -120.99999953799971)",6,Income,"$50,000 - $74,999"
40,2016,CA,California,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,3595.0,,"$75,000 or greater","(37.63864012300047, -120.99999953799971)",6,Income,"$75,000 or greater"
41,2016,CA,California,33.2,33.2,Percent of adults aged 18 years and older who have an overweight classification,1209.0,,Data not reported,"(37.63864012300047, -120.99999953799971)",6,Income,Data not reported
42,2016,CO,Colorado,29.6,29.6,Percent of adults aged 18 years and older who have an overweight classification,827.0,,"Less than $15,000","(38.843840757000464, -106.13361092099967)",8,Income,"Less than $15,000"
43,2016,CO,Colorado,32.7,32.7,Percent of adults aged 18 years and older who have an overweight classification,1579.0,,"$15,000 - $24,999","(38.843840757000464, -106.13361092099967)",8,Income,"$15,000 - $24,999"
44,2016,CO,Colorado,35.3,35.3,Percent of adults aged 18 years and older who have an overweight classification,1055.0,,"$25,000 - $34,999","(38.843840757000464, -106.13361092099967)",8,Income,"$25,000 - $34,999"
45,2016,CO,Colorado,38.0,38.0,Percent of adults aged 18 years and older who have an overweight classification,1621.0,,"$35,000 - $49,999","(38.843840757000464, -106.13361092099967)",8,Income,"$35,000 - $49,999"
46,2016,CO,Colorado,37.9,37.9,Percent of adults aged 18 years and older who have an overweight classification,1989.0,,"$50,000 - $74,999","(38.843840757000464, -106.13361092099967)",8,Income,"$50,000 - $74,999"
47,2016,CO,Colorado,38.1,38.1,Percent of adults aged 18 years and older who have an overweight classification,4742.0,,"$75,000 or greater","(38.843840757000464, -106.13361092099967)",8,Income,"$75,000 or greater"
48,2016,CO,Colorado,31.8,31.8,Percent of adults aged 18 years and older who have an overweight classification,1824.0,,Data not reported,"(38.843840757000464, -106.13361092099967)",8,Income,Data not reported
49,2016,CT,Connecticut,34.8,34.8,Percent of adults aged 18 years and older who have an overweight classification,535.0,,"Less than $15,000","(41.56266102000046, -72.64984095199964)",9,Income,"Less than $15,000"
50,2016,CT,Connecticut,33.1,33.1,Percent of adults aged 18 years and older who have an overweight classification,1018.0,,"$15,000 - $24,999","(41.56266102000046, -72.64984095199964)",9,Income,"$15,000 - $24,999"
51,2016,CT,Connecticut,32.3,32.3,Percent of adults aged 18 years and older who have an overweight classification,660.0,,"$25,000 - $34,999","(41.56266102000046, -72.64984095199964)",9,Income,"$25,000 - $34,999"
52,2016,CT,Connecticut,34.4,34.4,Percent of adults aged 18 years and older who have an overweight classification,923.0,,"$35,000 - $49,999","(41.56266102000046, -72.64984095199964)",9,Income,"$35,000 - $49,999"
53,2016,CT,Connecticut,38.2,38.2,Percent of adults aged 18 years and older who have an overweight classification,1291.0,,"$50,000 - $74,999","(41.56266102000046, -72.64984095199964)",9,Income,"$50,000 - $74,999"
54,2016,CT,Connecticut,38.4,38.4,Percent of adults aged 18 years and older who have an overweight classification,3953.0,,"$75,000 or greater","(41.56266102000046, -72.64984095199964)",9,Income,"$75,000 or greater"
55,2016,CT,Connecticut,32.6,32.6,Percent of adults aged 18 years and older who have an overweight classification,1580.0,,Data not reported,"(41.56266102000046, -72.64984095199964)",9,Income,Data not reported
56,2016,DE,Delaware,32.9,32.9,Percent of adults aged 18 years and older who have an overweight classification,281.0,,"Less than $15,000","(39.008830667000495, -75.57774116799965)",10,Income,"Less than $15,000"
57,2016,DE,Delaware,37.4,37.4,Percent of adults aged 18 years and older who have an overweight classification,556.0,,"$15,000 - $24,999","(39.008830667000495, -75.57774116799965)",10,Income,"$15,000 - $24,999"
58,2016,DE,Delaware,32.2,32.2,Percent of adults aged 18 years and older who have an overweight classification,360.0,,"$25,000 - $34,999","(39.008830667000495, -75.57774116799965)",10,Income,"$25,000 - $34,999"
59,2016,DE,Delaware,44.2,44.2,Percent of adults aged 18 years and older who have an overweight classification,484.0,,"$35,000 - $49,999","(39.008830667000495, -75.57774116799965)",10,Income,"$35,000 - $49,999"
