,year,state,state_name,age_pc,Data_Value_Alt,Question,Sample_Size,Total,Age,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2016,US,National,25.5,25.5,Percent of adults aged 18 years and older who have an overweight classification,23734.0,,18 - 24,,59,Age (years),18 - 24
1,2016,US,National,35.7,35.7,Percent of adults aged 18 years and older who have an overweight classification,48951.0,,35 - 44,,59,Age (years),35 - 44
2,2016,AZ,Arizona,37.6,37.6,Percent of adults aged 18 years and older who have an overweight classification,1281.0,,45 - 54,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
3,2016,AZ,Arizona,39.1,39.1,Percent of adults aged 18 years and older who have an overweight classification,2127.0,,55 - 64,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
4,2016,AZ,Arizona,38.6,38.6,Percent of adults aged 18 years and older who have an overweight classification,4790.0,,65 or older,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
5,2016,AR,Arkansas,18.3,18.3,Percent of adults aged 18 years and older who have an overweight classification,122.0,,18 - 24,"(34.74865012400045, -92.27449074299966)",5,Age (years),18 - 24
6,2016,AR,Arkansas,29.0,29.0,Percent of adults aged 18 years and older who have an overweight classification,373.0,,35 - 44,"(34.74865012400045, -92.27449074299966)",5,Age (years),35 - 44
7,2016,AR,Arkansas,38.1,38.1,Percent of adults aged 18 years and older who have an overweight classification,648.0,,45 - 54,"(34.74865012400045, -92.27449074299966)",5,Age (years),45 - 54
8,2016,US,National,37.1,37.1,Percent of adults aged 18 years and older who have an overweight classification,68854.0,,45 - 54,,59,Age (years),45 - 54
9,2016,US,National,37.5,37.5,Percent of adults aged 18 years and older who have an overweight classification,96566.0,,55 - 64,,59,Age (years),55 - 64
10,2016,US,National,39.0,39.0,Percent of adults aged 18 years and older who have an overweight classification,157668.0,,65 or older,,59,Age (years),65 or older
11,2016,AL,Alabama,28.4,28.4,Percent of adults aged 18 years and older who have an overweight classification,412.0,,18 - 24,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
12,2016,AL,Alabama,32.2,32.2,Percent of adults aged 18 years and older who have an overweight classification,793.0,,35 - 44,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
13,2016,AL,Alabama,33.9,33.9,Percent of adults aged 18 years and older who have an overweight classification,1060.0,,45 - 54,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
14,2016,AL,Alabama,35.3,35.3,Percent of adults aged 18 years and older who have an overweight classification,1402.0,,55 - 64,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
