,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
48772,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,438479.0,Total,,,,,,,59,Total,Total
48773,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,41.0,41.0,198440.0,,,,Male,,,,59,Gender,Male
48774,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,29.3,29.3,240000.0,,,,Female,,,,59,Gender,Female
48775,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,34.7,34.7,32325.0,,,Less than high school,,,,,59,Education,Less than high school
48776,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,34.2,34.2,123241.0,,,High school graduate,,,,,59,Education,High school graduate
48777,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,35.1,35.1,120735.0,,,Some college or technical school,,,,,59,Education,Some college or technical school
48778,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,36.8,36.8,161309.0,,,College graduate,,,,,59,Education,College graduate
48779,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,25.5,25.5,23734.0,,18 - 24,,,,,,59,Age (years),18 - 24
48780,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,33.5,33.5,42706.0,,25 - 34,,,,,,59,Age (years),25 - 34
48781,2016,US,National,Percent of adults aged 18 years and older who have an overweight classification,35.7,35.7,48951.0,,35 - 44,,,,,,59,Age (years),35 - 44
48782,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,37.6,37.6,1281.0,,45 - 54,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
48783,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,39.1,39.1,2127.0,,55 - 64,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
48784,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,38.6,38.6,4790.0,,65 or older,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
48785,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,34.7,34.7,842.0,,,,,"Less than $15,000",,"(34.865970280000454, -111.76381127699972)",4,Income,"Less than $15,000"
48786,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,30.9,30.9,1379.0,,,,,"$15,000 - $24,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$15,000 - $24,999"
48787,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,918.0,,,,,"$25,000 - $34,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$25,000 - $34,999"
48788,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,35.3,35.3,1355.0,,,,,"$35,000 - $49,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$35,000 - $49,999"
48789,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,1421.0,,,,,"$50,000 - $74,999",,"(34.865970280000454, -111.76381127699972)",4,Income,"$50,000 - $74,999"
48790,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,37.8,37.8,2507.0,,,,,"$75,000 or greater",,"(34.865970280000454, -111.76381127699972)",4,Income,"$75,000 or greater"
48791,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,29.0,29.0,1611.0,,,,,Data not reported,,"(34.865970280000454, -111.76381127699972)",4,Income,Data not reported
48792,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,7672.0,,,,,,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Non-Hispanic White
48793,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,25.2,25.2,222.0,,,,,,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Non-Hispanic Black
48794,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,33.0,33.0,1138.0,,,,,,Hispanic,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Hispanic
48795,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,21.4,21.4,115.0,,,,,,Asian,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Asian
48796,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Hawaiian/Pacific Islander
48797,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,30.3,30.3,452.0,,,,,,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,American Indian/Alaska Native
48798,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,30.1,30.1,132.0,,,,,,2 or more races,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,2 or more races
48799,2016,AZ,Arizona,Percent of adults aged 18 years and older who have an overweight classification,31.3,31.3,97.0,,,,,,Other,"(34.865970280000454, -111.76381127699972)",4,Race/Ethnicity,Other
48800,2016,AR,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,38.0,38.0,1918.0,,,,Male,,,"(34.74865012400045, -92.27449074299966)",5,Gender,Male
48801,2016,AR,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,27.0,27.0,2941.0,,,,Female,,,"(34.74865012400045, -92.27449074299966)",5,Gender,Female
