,year,state,state_name,income_pc,Data_Value_Alt,Question,Sample_Size,Total,Income,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2014,AL,Alabama,34.5,34.5,Percent of adults aged 18 years and older who have obesity,1108.0,,"Less than $15,000","(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
1,2014,AL,Alabama,40.6,40.6,Percent of adults aged 18 years and older who have obesity,1406.0,,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
2,2014,AL,Alabama,35.4,35.4,Percent of adults aged 18 years and older who have obesity,776.0,,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
3,2014,AL,Alabama,35.5,35.5,Percent of adults aged 18 years and older who have obesity,986.0,,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
4,2014,AL,Alabama,32.4,32.4,Percent of adults aged 18 years and older who have obesity,959.0,,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
5,2014,AL,Alabama,31.0,31.0,Percent of adults aged 18 years and older who have obesity,1425.0,,"$75,000 or greater","(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
6,2014,AL,Alabama,28.0,28.0,Percent of adults aged 18 years and older who have obesity,1530.0,,Data not reported,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
7,2014,AL,Alabama,27.7,27.7,Percent of adults aged 18 years and older who have an overweight classification,1108.0,,"Less than $15,000","(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
8,2014,AL,Alabama,30.2,30.2,Percent of adults aged 18 years and older who have an overweight classification,1406.0,,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
9,2014,AL,Alabama,28.6,28.6,Percent of adults aged 18 years and older who have an overweight classification,776.0,,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
